"Transect","Donor","Recipient","sample_ID","surv_to_flower","F_plant","total_fruits","closed_fruits","filled_seeds"
11,"BO_168","BO_175","2022-BO-175-G1-011-5",2,1,6,1,0
11,"BO_199","BO_069","2022-BO-069-G1-011-6",1,1,3,3,5
11,"BO_029","BO_061","2022-BO-061-G1-011-1",4,1,3,3,0
11,"BO_001","BO_025","2022-BO-025-G1-011-8",4,1,0,0,0
11,"BO_038","BO_082","2022-BO-082-G1-011-1",3,1,2,1,0
11,"BO_168","BO_180","2022-BO-180-G1-011-1",6,1,1,1,5
11,"BO_119","BO_051","2022-BO-051-G1-011-2",4,1,0,0,0
11,"BO_173","BO_079","2022-BO-079-G1-011-3",1,1,5,5,0
11,"BO_101","BO_182","2022-BO-182-G1-011-2",6,1,0,0,0
11,"BO_198","BO_159","2022-BO-159-G1-011-7",2,1,13,1,0
11,"BO_073","BO_117","2022-BO-117-G1-011-8",4,1,5,0,0
11,"BO_088","BO_050","2022-BO-050-G1-011-2",4,1,0,0,0
11,"BO_194","BO_037","2022-BO-037-G1-011-2",4,1,0,0,0
11,"BO_070","BO_066","2022-BO-066-G1-011-4",2,1,0,0,0
12,"BO_013","BO_114","2022-BO-114-G1-012-8",2,1,4,0,0
12,"BO_188","BO_008","2022-BO-008-G1-012-1",5,1,1,1,0
12,"BO_153","BO_177","2022-BO-177-G1-012-8",1,1,0,0,0
12,"BO_001","BO_048","2022-BO-048-G1-012-4",2,1,2,2,1
12,"BO_106","BO_191","2022-BO-191-G1-012-4",3,1,4,3,15
12,"BO_177","BO_139","2022-BO-139-G1-012-3",0,0,0,0,0
12,"BO_013","BO_141","2022-BO-141-G1-012-1",2,1,0,0,0
12,"BO_192","BO_166","2022-BO-166-G1-012-1",4,1,4,4,1
12,"BO_073","BO_186","2022-BO-186-G1-012-2",1,1,11,1,2
12,"BO_022","BO_020","2022-BO-020-G1-012-6",2,1,3,1,2
12,"BO_109","BO_001","2022-BO-001-G1-012-8",6,1,8,1,0
12,"BO_185","BO_153","2022-BO-153-G1-012-7",2,1,4,4,4
12,"BO_170","BO_111","2022-BO-111-G1-012-2",1,1,2,2,0
12,"BO_022","BO_009","2022-BO-009-G1-012-3",1,1,0,0,0
12,"BO_189","BO_086","2022-BO-086-G1-012-8",4,1,0,0,0
12,"BO_032","BO_096","2022-BO-096-G1-012-1",5,1,0,0,0
12,"BO_001","BO_151","2022-BO-151-G1-012-2",4,1,3,3,0
12,"BO_151","BO_167","2022-BO-167-G1-012-6",7,1,0,0,0
