"Transect","Donor","Recipient","sample_ID","surv_to_flower","F_plant","total_fruits","closed_fruits","filled_seeds"
1,"AC_160","AC_015","2022-AC-015-G1-001-5",3,1,3,3,6
1,"AC_161","AC_088","2022-AC-088-G1-001-1",6,1,4,1,1
1,"AC_045","AC_096","2022-AC-096-G1-001-9",5,1,10,10,19
1,"AC_216","AC_058","2022-AC-058-G1-001-7",8,1,9,7,17
1,"AC_091","AC_218","2022-AC-218-G1-001-2",6,1,0,0,0
1,"AC_170","AC_185","2022-AC-185-G1-001-10",4,1,12,10,25
1,"AC_207","AC_055","2022-AC-055-G1-001-5",6,1,26,14,54
1,"AC_091","AC_189","2022-AC-189-G1-001-3",7,1,9,7,15
1,"AC_198","AC_066","2022-AC-066-G1-001-10",6,1,6,6,9
1,"AC_064","AC_205","2022-AC-205-G1-001-6",6,1,1,0,0
1,"AC_096","AC_128","2022-AC-128-G1-001-10",7,1,16,6,27
2,"AC_186","AC_153","2022-AC-153-G1-002-4",8,1,4,4,7
2,"AC_216","AC_034","2022-AC-034-G1-002-10",8,1,0,0,0
2,"AC_008","AC_068","2022-AC-068-G1-002-9",7,1,18,18,34
2,"AC_150","AC_083","2022-AC-083-G1-002-1",7,1,4,4,5
2,"AC_124","AC_014","2022-AC-014-G1-002-6",8,1,5,5,8
2,"AC_091","AC_204","2022-AC-204-G1-002-4",7,1,19,19,49
2,"AC_161","AC_213","2022-AC-213-G1-002-7",6,1,11,8,12
2,"AC_177","AC_211","2022-AC-211-G1-002-7",5,1,13,12,24
2,"AC_168","AC_142","2022-AC-142-G1-002-2",5,1,14,10,28
2,"AC_125","AC_038","2022-AC-038-G1-002-8",4,1,5,5,3
2,"AC_179","AC_114","2022-AC-114-G1-002-6",6,1,10,9,25
2,"AC_186","AC_011","2022-AC-011-G1-002-9",8,1,6,6,16
2,"AC_002","AC_104","2022-AC-104-G1-002-7",6,1,21,20,46
2,"AC_159","AC_094","2022-AC-094-G1-002-7",1,1,15,14,52
2,"AC_169","AC_182","2022-AC-182-G1-002-9",6,1,15,13,11
2,"AC_179","AC_171","2022-AC-171-G1-002-7",6,1,4,3,8
2,"AC_061","AC_158","2022-AC-158-G1-002-6",5,1,40,39,115
2,"AC_097","AC_054","2022-AC-054-G1-002-4",6,1,14,14,19
2,"AC_107","AC_172","2022-AC-172-G1-002-3",6,1,7,7,20
2,"AC_102","AC_178","2022-AC-178-G1-002-8",8,1,8,7,19
2,"AC_165","AC_199","2022-AC-199-G1-002-4",7,1,31,24,77
2,"AC_198","AC_072","2022-AC-072-G1-002-7",4,1,10,9,13
2,"AC_159","AC_143","2022-AC-143-G1-002-7",5,1,12,11,33
2,"AC_045","AC_123","2022-AC-123-G1-002-1",5,1,2,1,5
2,"AC_061","AC_052","2022-AC-052-G1-002-3",7,1,7,7,6
2,"AC_124","AC_030","2022-AC-030-G1-002-4",5,1,4,4,10
